木佔斯 桂心 人參 細辛 敗醬草 乾薑 厚樸 甘草 防風 桔梗
木佔斯 厚樸 甘草 細辛 瓜蔞 防風 乾薑 人參 桔梗 敗醬草
木瓜 麻黃 桂枝心 甘草 防風 芍藥 白朮 人參 川芎 防己 川椒
木瓜 檳榔 白礬 甜消
木瓜 木香 人參 肉豆蔻 陳皮 胡椒 檳榔 吳茱萸 草豆蔻 厚樸 桂枝 蒼朮 縮砂仁 高良姜 生薑
木瓜 麝香 輕粉 木香子 檳榔
木瓜 青鹽
木瓜 附子 白附子 羌活 沒藥 木香
狗脊 艾葉 木瓜 天麻 當歸 萆薢 肉蓯蓉 牛膝
木瓜 木香 人參 肉豆蔻
木瓜 人參 桂枝 木香 沉香 厚樸 陳皮 柴胡 高良姜 吳茱萸 檳榔 赤芍
木瓜 木香 檳榔 草豆蔻 青皮 桂心 當歸 桃仁 鬱李仁
青鹽 川芎 木瓜
木瓜 牛膝 杜仲 續斷 萆薢
木瓜 烏藥 木香
百藥煎 烏梅 檀香 蒲黃 冰片香 麝香
宣木瓜 牛膝 川芎 黑附子 羌活
木瓜 乳香
木瓜 硫黃 大青鹽 木香 檳榔 肉豆蔻 訶子 桂心 白芍 當歸 胡椒 蓽茇 草豆蔻
吳茱萸 羌活 大青鹽 木瓜
木瓜 當歸 艾 木香 桂心 陳皮 赤石脂 人參 白朮 厚樸 訶子 高良姜
木瓜 陳皮 人參 桂心 丁香 檳榔
木瓜 桂心 沉香 柴胡 檳榔 高良姜 赤芍 吳茱萸 厚樸
木瓜 附子 艾 木香 桂心 訶子 人參 肉豆蔻 厚樸 白朮 高良姜
木瓜 赤茯苓 木香 桂心 沉香 陳皮 紫蘇 柴胡 高良姜 赤芍 檳榔 吳茱萸
木瓜 沉香 阿魏 木香 肉豆蔻 紅豆蔻 桂心 甘草 縮砂仁 陳皮 胡椒 白朮 川芎 厚樸 附子 神曲 桃仁 八角茴香 藿香 蓽茇 當歸 訶子 高良姜 丁香 乾薑 白豆蔻
